Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,75.100003,75.870001,74.299998,74.859998,178159800,9.903863
2006-10-03,74.450002,74.95,73.19,74.08,197677200,9.800671
2006-10-04,74.1,75.459998,73.159999,75.380003,207270700,9.972659
2006-10-05,74.529997,76.160001,74.130001,74.829997,170970800,9.899894
2006-10-06,74.420001,75.040002,73.81,74.220003,116739700,9.819193
2006-10-09,73.8,75.080003,73.530001,74.629999,109555600,9.873435
2006-10-10,74.539997,74.579998,73.079997,73.81,132897100,9.76495
2006-10-11,73.419998,73.979998,72.599999,73.23,142963800,9.688217
2006-10-12,73.610003,75.390003,73.600002,75.26,148213800,9.956783
2006-10-13,75.630002,76.879997,74.740002,75.020001,171049200,9.925031
2006-10-16,75.189999,75.880001,74.790003,75.399997,127173200,9.975304
2006-10-17,75.040002,75.27,74.039999,74.289998,120231300,9.828453
2006-10-18,74.750002,75.370003,73.910003,74.529997,283476900,9.860205
2006-10-19,79.259998,79.950001,78.16,78.989999,378244300,10.450256
2006-10-20,78.969998,79.990002,78.669998,79.950001,159853400,10.577263
2006-10-23,79.990002,81.899999,79.750003,81.460002,208126800,10.777034
2006-10-24,81.210003,81.68,80.2,81.049999,115803100,10.722791
2006-10-25,81.349999,82.000001,81.009998,81.68,121303700,10.806139
2006-10-26,81.899999,82.600001,81.130001,82.189999,108189200,10.873611
2006-10-27,81.750002,82.449998,80.010002,80.409998,148741600,10.63812
2006-10-30,79.990002,80.900002,79.499997,80.419998,124979400,10.639443
2006-10-31,81.450002,81.68,80.23,81.08,125368600,10.72676
2006-11-01,81.1,81.38,78.359998,79.160003,152798100,10.472747
2006-11-02,78.919997,79.32,78.500001,78.979999,116370800,10.448933
2006-11-03,79.360001,79.529998,77.789998,78.290003,107972200,10.357648
2006-11-06,78.949998,80.060003,78.429999,79.710002,108644200,10.545511
2006-11-07,80.449999,80.999998,80.129998,80.51,131483100,10.65135
2006-11-08,80.020002,82.689997,79.889999,82.449998,172729200,10.908009
2006-11-09,82.900002,84.690002,82.119997,83.339998,230763400,11.025754
2006-11-10,83.550003,83.599998,82.499999,83.12,93466100,10.996649
2006-11-13,83.220002,84.449997,82.640002,84.350001,112668500,11.159376
2006-11-14,84.799998,85.000003,83.899998,85.000003,147238700,11.24537
2006-11-15,85.049997,85.899997,84.0,84.050001,163830800,11.119687
2006-11-16,84.87,86.299999,84.620001,85.609997,173485200,11.326072
2006-11-17,85.139999,85.939998,85.000003,85.850002,116606000,11.357824
2006-11-20,85.399999,87.000002,85.200001,86.470003,142698500,11.439849
2006-11-21,87.419998,88.599998,87.109998,88.599998,155666700,11.721644
2006-11-22,88.990001,90.750001,87.850001,90.309998,167985300,11.947874
2006-11-24,89.53,93.080001,89.499999,91.630001,129669400,12.122509
2006-11-27,92.510001,93.160003,89.499999,89.54,268709000,11.846005
2006-11-28,90.359999,91.970002,89.910002,91.809999,259043400,12.146322
2006-11-29,92.999999,93.150002,90.250003,91.799998,289270800,12.144999
2006-11-30,92.210001,92.679998,91.060001,91.660002,217621600,12.126478
2006-12-01,91.799998,92.329997,90.099999,91.320001,198769900,12.081496
2006-12-04,91.88,92.049997,90.500002,91.120003,177384200,12.055037
2006-12-05,91.650002,92.329997,90.869997,91.27,165709600,12.074881
2006-12-06,90.639998,91.390002,89.670003,89.83,159546100,11.884372
2006-12-07,90.029998,90.500002,86.9,87.040003,251206900,11.515259
2006-12-08,87.23,89.390003,87.000002,88.259997,196069300,11.676663
2006-12-11,88.899999,89.300001,88.049999,88.750002,124945100,11.741489
2006-12-12,88.609999,88.839997,85.530002,86.140002,256655000,11.39619
